FECHA;HORA;LAT GRADOS;LAT MIN;LONG GRADOS;LONG MIN;TEMP;HR;PRESSION;VEL-ESTRIBOR;DIR-ESTRIBOR;VEL-BABOR;DIR-BABOR;Value1;Value2
11/12/2019;0:00:00;-12;-2.4444;-77;-8.5389;19.95;94.1;1014;4.706;112.5;4.763;107.8;203.7;26.77
11/12/2019;1:00:00;-12;-2.4452;-77;-8.5391;19.99;93.6;1014;3.707;125.7;3.739;119.1;200.7;25.43
11/12/2019;2:00:00;-12;-2.4464;-77;-8.538999;19.98;93.9;1015;2.072;136.1;2.096;129;203.1;24.64
11/12/2019;3:00:00;-12;-2.4454;-77;-8.5391;19.86;94.8;1015;3.908;124.6;3.927;118.4;201.4;24.17
11/12/2019;4:00:00;-12;-2.4451;-77;-8.5385;19.62;95.4;1015;4.295;121.3;4.373;115.6;202;23.98
11/12/2019;5:00:00;-12;-2.4456;-77;-8.5386;19.57;96.1;1014;3.624;115.7;3.64;110.3;201.4;23.89
11/12/2019;6:00:00;-12;-2.4456;-77;-8.5385;19.31;97.2;1014;4.062;116.6;4.063;111.4;203.4;23.84
11/12/2019;7:00:00;-12;-2.4447;-77;-8.538299;19.09;98.4;1013;3.328;121.2;3.369;115.1;201.9;23.56
11/12/2019;8:00:00;-12;-2.4449;-77;-8.5387;18.97;98.6;1013;4.374;112.4;4.397;107.5;201.2;23.23
11/12/2019;9:00:00;-12;-2.4445;-77;-8.5381;18.89;98.9;1013;4.075;119.3;4.063;113.3;200.4;23.01
11/12/2019;10:00:00;-12;-2.4444;-77;-8.5382;18.95;98.6;1013;3.611;111.9;3.583;106.9;200.6;22.83
11/12/2019;11:00:00;-12;-2.4438;-77;-8.5382;19.17;97.6;1013;4.444;114.1;4.425;108.8;201.6;22.73
11/12/2019;12:00:00;-12;-2.4442;-77;-8.5374;19.28;96.8;1014;1.663;117.7;1.807;113.8;203.3;22.79
11/12/2019;13:00:00;-12;-2.4438;-77;-8.5379;19.27;96.9;1015;3.06;123.3;3.054;117.2;200.3;23.08
11/12/2019;14:00:00;-12;-2.5177;-77;-8.7486;19.39;96.6;1015;2.868;139.3;2.808;132.9;202.1;23.85
11/12/2019;15:00:00;-12;-3.3373;-77;-9.611301;19.01;98;1015;2.748;189.7;3.216;189.2;152.5;25.13
